
1 明石信道　
13年	tfidf:0.00328967564334
昭和3年	tfidf:0.00328967564334
11年	tfidf:0.00319971829517
心	tfidf:0.00319971829517
父	tfidf:0.00318002225136
大正8年	tfidf:0.00315676439135
部	tfidf:0.00315676439135
1人	tfidf:0.00311505570521
とき	tfidf:0.00303509908484
組合	tfidf:0.00303509908484
氏	tfidf:0.00303509908484
5	tfidf:0.00295935270572
活動	tfidf:0.00288739526605
昭和9年	tfidf:0.00278578725567
函	tfidf:0.00272182788506
以後	tfidf:0.00269088370489
12月	tfidf:0.00266059102978
15年	tfidf:0.00260185434702
大正	tfidf:0.00260185434702
これ	tfidf:0.00252122212992
日	tfidf:0.00251801419145
自ら	tfidf:0.00251801419145
最初	tfidf:0.00236370407583
上京	tfidf:0.00236370407583
数	tfidf:0.0023157380035
5月	tfidf:0.00229234157059
4月	tfidf:0.00220238422242
3月	tfidf:0.00215943031861
学校	tfidf:0.00207718799653
函館市	tfidf:0.0019805846831
入学	tfidf:0.00194368909948
母	tfidf:0.0018383604606
名	tfidf:0.00167832357555
的	tfidf:0.00166325695704
時	tfidf:0.00153359991588
頃	tfidf:0.0015206801187
函館	tfidf:0.00149223627483
人	tfidf:0.00145436197884
家	tfidf:0.00136637000308
等	tfidf:0.00135422774604
翌年	tfidf:0.00134218709903
もの	tfidf:0.00129500749785
その後	tfidf:0.00129500749785
年	tfidf:0.00129500749785
当時	tfidf:0.00129500749785
後	tfidf:0.00117152747501
こと	tfidf:0.00100625539131
ため	tfidf:0.000791119110172
	tfidf:0.0


3 阿部 覺治　　
海峡	tfidf:0.0543605377085
覺	tfidf:0.0521807231618
治	tfidf:0.0374994195136
權	tfidf:0.0326129519761
可	tfidf:0.0316193807613
掌握	tfidf:0.0229289149193
東北	tfidf:0.020757526995
勢力	tfidf:0.0197674682576
生命	tfidf:0.0187497097568
世界的	tfidf:0.0171966861894
港湾	tfidf:0.0147566938509
函館市民	tfidf:0.0147566938509
商	tfidf:0.0142752599854
海産	tfidf:0.0137389353501
大陸	tfidf:0.0134386053844
未来	tfidf:0.0130451807904
其	tfidf:0.0130451807904
擇捉	tfidf:0.0130451807904
処	tfidf:0.0129112940509
津軽海峡	tfidf:0.0116911973214
得	tfidf:0.0114644574596
むる	tfidf:0.0114644574596
紙上	tfidf:0.0105397935871
言	tfidf:0.0105397935871
察	tfidf:0.0105397935871
加	tfidf:0.00988373412882
岬	tfidf:0.00988373412882
漁業	tfidf:0.00938084438074
勘	tfidf:0.00937485487839
阿部	tfidf:0.00895907025628
一大	tfidf:0.00895907025628
使命	tfidf:0.00860752936728
立場	tfidf:0.00803440638374
事	tfidf:0.00793311651635
論	tfidf:0.00779413154758
経済	tfidf:0.00779413154758
中心	tfidf:0.00771234620459
市民	tfidf:0.00760708397426
樺太	tfidf:0.00740580518284
熱心	tfidf:0.00737834692547
天興	tfidf:0.00652259039522
新市場	tfidf:0.00652259039522
圏	tfidf:0.00652259039522
白神	tfidf:0.00652259039522
通過	tfidf:0.00652259039522
勢力範囲	tfidf:0.00652259039522
條	tfidf:0.00652259039522
終端	tfidf:0.00652259039522
海波	tfidf:0.00652259039522
本位	tfidf:0.00652259039522
原文	tfidf:0.00652259039522
商権	tfidf:0.00652259039522
かし	tfidf:0.00652259039522
ウインタースポーツ	tfidf:0.00652259039522
現	tfidf:0.00652259039522
支配下	tfidf:0.00652259039522
尻矢	tfidf:0.00652259039522
取引市場	tfidf:0.00652259039522
大舞	tfidf:0.00652259039522
指摘	tfidf:0.00652259039522
密着	tfidf:0.00652259039522
臺	tfidf:0.00652259039522
廳	tfidf:0.00652259039522
稱	tfidf:0.00652259039522
く処	tfidf:0.00652259039522
鍵	tfidf:0.00652259039522
我観	tfidf:0.00652259039522
論理	tfidf:0.00652259039522
昔ながらの	tfidf:0.00652259039522
龍飛	tfidf:0.00652259039522
侯	tfidf:0.00652259039522
封じて	tfidf:0.00652259039522
潮流	tfidf:0.00652259039522
